Stand;RaumID;RaumName;AgeGroup;Overall;male;female;german;german_male;german_female;non_german;non_german_male;non_german_female
31.12.2019;08;Baden-W�rttemberg, Land;35 bis unter 40 Jahre;712798;363263;349535;539284;271338;267946;173514;91925;81589
31.12.2019;08;Baden-W�rttemberg, Land;40 bis unter 45 Jahre;659511;331858;327653;492309;244530;247779;167202;87328;79874
31.12.2019;08;Baden-W�rttemberg, Land;45 bis unter 50 Jahre;715681;358773;356908;559344;277994;281350;156337;80779;75558
31.12.2019;08;Baden-W�rttemberg, Land;50 bis unter 55 Jahre;889679;449978;439701;760433;381762;378671;129246;68216;61030
31.12.2019;08;Baden-W�rttemberg, Land;55 bis unter 60 Jahre;876981;441466;435515;780747;390528;390219;96234;50938;45296
31.12.2019;08;Baden-W�rttemberg, Land;60 bis unter 65 Jahre;724704;358293;366411;654468;322558;331910;70236;35735;34501
31.12.2019;08;Baden-W�rttemberg, Land;65 bis unter 70 Jahre;599826;284881;314945;540011;258932;281079;59815;25949;33866
31.12.2019;08;Baden-W�rttemberg, Land;70 bis unter 75 Jahre;463511;218241;245270;409186;190742;218444;54325;27499;26826
31.12.2019;08;Baden-W�rttemberg, Land;75 bis unter 80 Jahre;476229;214404;261825;442172;196430;245742;34057;17974;16083
31.12.2019;08;Baden-W�rttemberg, Land;80 bis unter 85 Jahre;413975;175279;238696;395080;165291;229789;18895;9988;8907
31.12.2019;08;Baden-W�rttemberg, Land;85 bis unter 90 Jahre;200681;76070;124611;193270;72461;120809;7411;3609;3802
31.12.2019;08;Baden-W�rttemberg, Land;90 Jahre und mehr;105482;30332;75150;102766;29320;73446;2716;1012;1704
31.12.2019;09;Bayern;unter 3 Jahre;386391;197631;188760;332833;170105;162728;53558;27526;26032
31.12.2019;09;Bayern;3 bis unter 6 Jahre;374117;192022;182095;324362;166195;158167;49755;25827;23928
31.12.2019;09;Bayern;6 bis unter 10 Jahre;463107;237601;225506;411696;211114;200582;51411;26487;24924
31.12.2019;09;Bayern;10 bis unter 15 Jahre;576129;295977;280152;513988;263618;250370;62141;32359;29782
31.12.2019;09;Bayern;15 bis unter 18 Jahre;361618;185122;176496;325735;166170;159565;35883;18952;16931
31.12.2019;09;Bayern;18 bis unter 20 Jahre;263367;137173;126194;232068;119497;112571;31299;17676;13623
31.12.2019;09;Bayern;20 bis unter 25 Jahre;766899;404278;362621;608544;312779;295765;158355;91499;66856
31.12.2019;09;Bayern;25 bis unter 30 Jahre;858086;447020;411066;661549;339165;322384;196537;107855;88682
31.12.2019;09;Bayern;30 bis unter 35 Jahre;884235;457574;426661;685599;349418;336181;198636;108156;90480
31.12.2019;09;Bayern;35 bis unter 40 Jahre;856571;434616;421955;677840;340924;336916;178731;93692;85039
31.12.2019;09;Bayern;40 bis unter 45 Jahre;802492;403325;399167;631673;315071;316602;170819;88254;82565
31.12.2019;09;Bayern;45 bis unter 50 Jahre;860242;431223;429019;704581;350933;353648;155661;80290;75371
31.12.2019;09;Bayern;50 bis unter 55 Jahre;1071680;542887;528793;944899;475070;469829;126781;67817;58964
31.12.2019;09;Bayern;55 bis unter 60 Jahre;1045320;523937;521383;954054;475080;478974;91266;48857;42409
